iter	Passed	Remaining
0	0	36
1	0	31
2	0	30
3	1	27
4	1	26
5	1	25
6	1	26
7	2	26
8	2	26
9	2	26
10	4	36
11	4	34
12	5	33
13	5	32
14	5	31
15	5	31
16	6	30
17	6	29
18	6	28
19	7	28
20	7	27
21	7	26
22	7	26
23	8	25
24	8	25
25	8	25
26	9	24
27	9	24
28	9	23
29	9	23
30	10	22
31	10	22
32	10	21
33	11	21
34	11	21
35	11	20
36	11	20
37	12	19
38	12	19
39	12	19
40	12	18
41	13	18
42	13	17
43	13	17
44	13	16
45	14	16
46	14	16
47	14	15
48	15	15
49	15	15
50	15	14
51	15	14
52	16	14
53	16	13
54	16	13
55	16	13
56	17	12
57	17	12
58	17	12
59	17	11
60	19	12
61	20	12
62	20	12
63	20	11
64	21	11
65	21	11
66	21	10
67	21	10
68	22	10
69	22	9
70	22	9
71	23	8
72	23	8
73	23	8
74	24	8
75	24	7
76	24	7
77	24	7
78	25	6
79	25	6
80	25	6
81	26	5
82	26	5
83	26	5
84	27	4
85	27	4
86	27	4
87	27	3
88	28	3
89	28	3
90	28	2
91	28	2
92	29	2
93	29	1
94	29	1
95	30	1
96	30	0
97	30	0
98	30	0
99	31	0
